"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
849,"NCT04449731","Changes in Dietary Behaviours During the COVID-19 Outbreak Confinement in the Adult Population (COVIDiet_Int)","COVIDiet_Int","Recruiting","No Results Available","COVID-19",,"Adherence to the Mediterranean diet before and during the COVID-19 confinement|Eating behaviours|Level of physical activity during the COVID-19 confinement|Weight gain during the COVID-19 confinement","Universidad de Granada|Agricultural University of Athens|University of Zagreb|University of Belgrade|Institute of Technology, Sligo|University of Sarajevo|Lithuanian University of Health Sciences|Jozef Stefan Institute|University of Southern Denmark|Institut Za Javno Zdeavlje|University of Skopje|Poznan University of Life Sciences|Bezmialem Vakif University|Centro Hospitalar e Universitário de Coimbra, E.P.E.|Kuwait University|Universidad Nacional de Colombia|Manay Rachna International institute of Research and Studies","All","18 Years and older   (Adult, Older Adult)",,"30000","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","1526/CEIH/2020","March 20, 2020","August 30, 2020","June 30, 2021","June 29, 2020",,"April 9, 2021","Universidad de Granada, Granada, Spain",,"https://ClinicalTrials.gov/show/NCT04449731"
850,"NCT04420286","Study of the Increase in ICU Beds Capacity During COVID-19 Pandemic in France","FRENCH ICU","Recruiting","No Results Available","Coronavirus Infections|COVID19 Outbreak in France",,"origin of the ICU beds created during the COVID-19 outbreak in France.|Human Resources","Centre Hospitalier Universitaire de Nīmes","All","Child, Adult, Older Adult",,"9000","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","30RC20_0117","May 6, 2020","June 5, 2021","June 5, 2021","June 9, 2020",,"December 19, 2020","CHU de Nîmes, Hôpital Universitaire Carémeau, Nimes, France",,"https://ClinicalTrials.gov/show/NCT04420286"
851,"NCT04333355","Safety in Convalescent Plasma Transfusion to COVID-19",,"Terminated","No Results Available","COVID-19","Biological: Convalescent Plasma","Side effects|Heart Failure|Pulmonary Edema|Allergic Reaction|Viral load of SARS-CoV-2","Hospital San Jose Tec de Monterrey|Tecnologico de Monterrey","All","18 Years and older   (Adult, Older Adult)","Phase 1","12","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PC-TecSalud Fase I","May 8, 2020","August 20, 2020","August 20, 2020","April 3, 2020",,"February 10, 2021","Hospital San José, Monterrey, Nuevo Leon, Mexico",,"https://ClinicalTrials.gov/show/NCT04333355"
852,"NCT04621903","A Pilot Study on Efficacy and Safety of Ayurveda Combination in Patients With Mild-to-Moderate COVID-19",,"Completed","No Results Available","Covid19","Other: Shanshamani Vati Plus","Time to COVID-19 symptoms relief|Prevention of severe stage of Covid19|Side effect/ adverse events|COVID-19 severity worsening|Time to negative saliva","Aarogyam UK|University of Warwick|All India Institute of Ayurveda, Ministry of AYUSH, Government of India","All","20 Years to 70 Years   (Adult, Older Adult)","Not Applicable","26","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","AU/WU/ 06","October 8, 2020","October 27, 2020","November 3, 2020","November 9, 2020",,"November 19, 2020","Aarogyam (UK) CIC, Leicester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04621903"
853,"NCT04625972","Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults","STORM CHASER","Recruiting","No Results Available","COVID-19","Drug: AZD7442|Drug: Placebo","The incidence of the first case of SARS CoV-2 RT PCR positive symptomatic illness|AEs, SAEs, MAAEs, and AESIs through 365 days post dose of IMP|The incidence of SARS-CoV-2 RT-PCR-positive severe or critical symptomatic illness occurring after dosing with IMP|The incidence of participants who have a post-treatment response (negative at baseline to positive at any time post-baseline) for SARSCoV- 2 nucleocapsid antibodies|The incidence of COVID-19-related death occurring after dosing with IMP|The incidence of all-cause mortality occurring after dosing with IMP|Serum AZD7442 concentrations, PK parameters if data permit.|Incidence of ADA to AZD7442 in serum","AstraZeneca|QuintilesIMS","All","18 Years to 120 Years   (Adult, Older Adult)","Phase 3","1125","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","D8850C00003","December 2, 2020","January 21, 2022","January 21, 2022","November 12, 2020",,"January 11, 2021","Research Site, Birmingham, Alabama, United States|Research Site, Guntersville, Alabama, United States|Research Site, Montgomery, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Corona, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Huntington Park, California, United States|Research Site, Modesto, California, United States|Research Site, Coral Springs, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Mount Dora, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Winter Haven, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Buford, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Honolulu, Hawaii, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Greenwood, Indiana, United States|Research Site, Ankeny, Iowa, United States|Research Site, Wichita, Kansas, United States|Research Site, Owensboro, Kentucky, United States|Research Site, Bethesda, Maryland, United States|Research Site, Kansas City, Missouri, United States|Research Site, Omaha, Nebraska, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Fayetteville, North Carolina, United States|Research Site, Wilmington, North Carolina, United States|Research Site, Greer, South Carolina, United States|Research Site, Dakota Dunes, South Dakota, United States|Research Site, Rapid City, South Dakota, United States|Research Site, Arlington, Texas, United States|Research Site, Austin, Texas, United States|Research Site, Cypress, Texas, United States|Research Site, Dallas, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Friendswood, Texas, United States|Research Site, Gonzales, Texas, United States|Research Site, Harlingen, Texas, United States|Research Site, Houston, Texas, United States|Research Site, McKinney, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Waxahachie, Texas, United States|Research Site, Riverton, Utah, United States|Research Site, Norfolk, Virginia, United States|Research Site, Portsmouth, Virginia, United States|Research Site, Richmond, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Southampton, United Kingdom|Research Site, Wakefield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04625972"
854,"NCT04784468","DNA Damage and Oxidative Stress in Hospitalized COVID-19 Patients","ABCD","Recruiting","No Results Available","Covid19","Other: No intervention","DNA damage|The investigators will consider further DNA damage parameter|The investigators will consider oxidative stress marker|The investigators will consider inflammatory marker|The investigators will consider the phenotypic age marker|The investigators will consider RDA and DNA gene expression|The investigators will consider clinical biochemistry marker","University of Vienna|SMZ-Ost Donauspital","All","40 Years and older   (Adult, Older Adult)",,"135","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","UNIVIE_Covid_Oxstress","November 19, 2020","March 31, 2021","September 30, 2021","March 5, 2021",,"March 9, 2021","Klinik Donaustadt, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT04784468"
855,"NCT04668911","Oral Health, Microbial Burden and COVID-19","ORACLE","Recruiting","No Results Available","Covid19|Periodontitis","Other: Swab","Oral microbial signature|Nasal microbial signature","Eastman Dental Insitute and Hospital|DermBiont, Inc.|University College London Hospitals|The Whittington Hospital NHS Trust","All","18 Years and older   (Adult, Older Adult)",,"150","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","EDGE 132868|283766","December 13, 2020","December 12, 2021","December 12, 2021","December 16, 2020",,"February 4, 2021","University College Hospital (UCH), UCL Eastman Dental Institute, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04668911"
856,"NCT04299724","Safety and Immunity of Covid-19 aAPC Vaccine",,"Recruiting","No Results Available","Treat and Prevent Covid-19 Infection","Biological: Pathogen-specific aAPC","Frequency of vaccine events|Frequency of serious vaccine events|Proportion of subjects with positive T cell response|28-day mortality|Duration of mechanical ventilation if applicable|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Clinical improvement based on the 7-point scale if applicable|Lower Murray lung injury score if applicable","Shenzhen Geno-Immune Medical Institute|Shenzhen Third People's Hospital|Shenzhen Second People's Hospital","All","6 Months to 80 Years   (Child, Adult, Older Adult)","Phase 1","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GIMI-IRB-20002","February 15, 2020","July 31, 2023","December 31, 2024","March 9, 2020",,"March 9, 2020","Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04299724"
857,"NCT04418375","Establishment of a Biological Collection During COVID-19 Serological Screening in APHP Professionals (COVID-HOP)","COVID-HOP","Recruiting","No Results Available","COVID-19",,"Identification of markers associated with asymptomatic COVID + status (results of the serological test) versus symptomatic COVID + status through a questionnaire (medical history, work environment, lifestyle) and a biological collection|Identification of markers associated with a positive or a negative serology through a questionnaire (medical history, work environment, lifestyle) and a biological collection|Description of the serological status according to the professional risk of exposure to the virus|Description of the clinical manifestations of COVID-19 infection in hospital professionals|Identification of risk factors associated with the loss of anti SARS-CoV-2 immunity through a questionnaire (medical history, work environment, lifestyle) and a biological collection|Identification of markers associated with symptomatic COVID-19 infection during follow-up despite the presence of anti SARS-CoV-2 antibodies through a questionnaire (medical history, work environment, lifestyle) and a biological collection|Correlation between the serology result and the PCR result (swabs) for people who have been tested as part of routine care.|Identification of potential therapeutic targets to avoid developing a symptomatic form|Identification of potential therapeutic targets to promote the maintenance of an anti SARS-CoV2 protective immunity|Creation of COVIDneg and COVID + asymptomatic control groups for other COVID-19 biological collections.","Assistance Publique - Hôpitaux de Paris|Fondation Université de Paris|Fondation Hôpitaux de Paris-Hôpitaux de France","All","18 Years and older   (Adult, Older Adult)",,"4000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","APHP200609|2020-A01364-35","June 8, 2020","February 2021","March 2022","June 5, 2020",,"October 8, 2020","HEGP, Paris, France",,"https://ClinicalTrials.gov/show/NCT04418375"
858,"NCT04384549","Efficacy of BCG Vaccination in the Prevention of COVID19 Via the Strengthening of Innate Immunity in Health Care Workers","COVID-BCG","Recruiting","No Results Available","Infection|Viral, Agent as Cause of Disease Classified Elsewhere","Biological: BCG GROUP|Other: PLACEBO GROUP","Incidence of documented COVID-19 among health care workers exposed to SARS CoV2 and vaccinated with BCG compared to placebo.|Numbers of COVID-19 patients requiring hospitalization in ICU and O2, artificial ventilation or extracorporal membrane oxygenation, or deaths in BCG-vaccinated health care workers compared to placebo|Incidence of asymptomatic SARS CoV2 seropositive subjects among BCG-vaccinated health care workers compared to placebo.|Incidence of subjects with any respiratory infection among BCG-vaccinated health care workers compared to placebo.|Numbers of sick days and numbers of sick leaves among BCG-vaccinated health care workers compared to placebo.|Numbers of subjects with BCG-related advers events among BCG-vaccinated health care workers compared to placebo.|Numbers and intensity of changes in innate immune markers after SARS CoV2 infection among BCG-vaccinated health care workers compared to placebo.","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 3","1120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","APHP200462|2020-001678-31","May 20, 2020","February 20, 2021","February 20, 2021","May 12, 2020",,"August 18, 2020","I-REIVAC/CIC 1417 Cochin Hospital, APHP, Paris, France",,"https://ClinicalTrials.gov/show/NCT04384549"
